date_reported,continent,total_new_cases,total_new_deaths
2/13/2022,Asia,5440360,20132
5/29/2022,Asia,1054223,2319
9/27/2020,Asia,924080,13306
1/17/2021,Asia,741926,11932
7/12/2020,Asia,417049,8884
11/1/2020,Asia,771075,12089
12/26/2021,Asia,674014,15461
10/18/2020,Asia,837823,12691
3/28/2021,Asia,1057336,12500
7/4/2021,Asia,1174677,21214
3/15/2020,Asia,10154,636
9/11/2022,Asia,1785500,3967
1/24/2021,Asia,672466,11695
4/25/2021,Asia,3237586,29488
3/13/2022,Asia,5864632,17326
8/7/2022,Asia,3766877,3921
9/12/2021,Asia,1629170,29366
1/19/2020,Asia,88,2
11/28/2021,Asia,887589,19007
5/3/2020,Asia,138354,2900
1/23/2022,Asia,4898318,13041
4/5/2020,Asia,61517,1858
9/18/2022,Asia,1860121,3483
11/29/2020,Asia,1012428,15490
6/19/2022,Asia,829838,2136
7/24/2022,Asia,2557475,2475
4/12/2020,Asia,83215,2374
8/29/2021,Asia,1949974,35549
5/8/2022,Asia,910639,2866
10/2/2022,Asia,1233030,2654
8/2/2020,Asia,615520,10145
6/28/2020,Asia,359096,7566
6/7/2020,Asia,279895,5336
12/27/2020,Asia,799959,13692
6/14/2020,Asia,312062,6184
11/8/2020,Asia,834023,13245
2/28/2021,Asia,583099,8822
3/6/2022,Asia,5440675,19251
1/2/2022,Asia,838946,13926
11/15/2020,Asia,860192,13619
8/8/2021,Asia,2030714,37659
8/15/2021,Asia,2036452,38338
9/13/2020,Asia,924409,12822
3/20/2022,Asia,6025241,15293
8/9/2020,Asia,668593,10704
10/3/2021,Asia,1185440,19965
9/26/2021,Asia,1345505,22136
1/12/2020,Asia,44,1
10/23/2022,Asia,921906,2429
6/5/2022,Asia,900340,2439
6/26/2022,Asia,847862,2082
8/1/2021,Asia,1931890,35617
11/27/2022,Asia,1380025,2698
11/13/2022,Asia,1208554,2411
5/24/2020,Asia,222943,3672
10/31/2021,Asia,1017532,19882
9/6/2020,Asia,833975,11709
5/30/2021,Asia,1988043,38541
4/24/2022,Asia,1403925,5299
12/18/2022,Asia,12731615,4772
1/3/2021,Asia,731104,12952
5/16/2021,Asia,3037241,41272
6/27/2021,Asia,1075273,21945
1/26/2020,Asia,1878,53
3/1/2020,Asia,6723,485
7/3/2022,Asia,881824,1990
8/30/2020,Asia,757189,11448
9/5/2021,Asia,1816565,32541
10/25/2020,Asia,803556,12391
4/11/2021,Asia,1869042,15992
6/20/2021,Asia,1062494,27744
1/30/2022,Asia,5482850,14659
5/1/2022,Asia,1060101,5809
7/18/2021,Asia,1579768,27466
8/16/2020,Asia,703664,11398
1/10/2021,Asia,743107,11237
8/28/2022,Asia,2803984,5215
10/16/2022,Asia,967273,2350
9/25/2022,Asia,1593641,3173
6/13/2021,Asia,1195412,34669
7/25/2021,Asia,1612150,32729
8/14/2022,Asia,3147789,4602
10/30/2022,Asia,970631,2351
2/16/2020,Asia,31423,863
12/25/2022,Asia,42190642,9249
12/6/2020,Asia,1060995,15276
5/15/2022,Asia,1136347,2366
2/23/2020,Asia,9117,687
4/10/2022,Asia,2755341,8163
8/23/2020,Asia,718907,11324
5/9/2021,Asia,3527746,40626
11/6/2022,Asia,1103380,3714
10/10/2021,Asia,1094521,17770
3/21/2021,Asia,832770,9255
4/4/2021,Asia,1346355,12555
1/16/2022,Asia,3590397,12427
12/11/2022,Asia,2515243,3717
11/14/2021,Asia,938521,18644
4/26/2020,Asia,127767,2955
5/2/2021,Asia,3508957,37784
5/23/2021,Asia,2496908,42282
2/6/2022,Asia,5693727,19283
9/4/2022,Asia,2565401,4992
7/31/2022,Asia,3121494,3246
4/19/2020,Asia,108824,3997
12/5/2021,Asia,826678,20415
2/21/2021,Asia,550826,9085
12/4/2022,Asia,1406525,3001
3/27/2022,Asia,4669851,16352
4/17/2022,Asia,1975981,6191
7/26/2020,Asia,525564,10693
1/9/2022,Asia,1859771,12746
2/7/2021,Asia,601771,10347
5/22/2022,Asia,1158402,2264
11/20/2022,Asia,1274869,2655
7/17/2022,Asia,1737548,2037
12/12/2021,Asia,783037,17344
12/20/2020,Asia,899593,14080
7/11/2021,Asia,1354233,24942
7/10/2022,Asia,1202240,2012
5/17/2020,Asia,200399,3226
2/9/2020,Asia,22914,544
9/19/2021,Asia,1465995,26306
10/11/2020,Asia,882168,13026
1/31/2021,Asia,647809,11734
3/22/2020,Asia,15920,1169
3/8/2020,Asia,10338,365
6/12/2022,Asia,860153,2322
7/19/2020,Asia,454803,9762
5/10/2020,Asia,178600,3160
2/14/2021,Asia,559132,9787
4/3/2022,Asia,3909829,9630
10/9/2022,Asia,1001604,2571
7/5/2020,Asia,397672,8346
11/22/2020,Asia,888397,14747
9/20/2020,Asia,954652,13739
3/7/2021,Asia,612266,8389
3/29/2020,Asia,35887,1374
12/19/2021,Asia,741311,16043
8/21/2022,Asia,3189154,4976
6/6/2021,Asia,1493530,32509
3/14/2021,Asia,671652,8758
4/18/2021,Asia,2526582,20500
8/22/2021,Asia,1943931,37596
11/21/2021,Asia,882036,18482
10/17/2021,Asia,1060870,17243
2/27/2022,Asia,5093713,18904
6/21/2020,Asia,336340,8936
10/4/2020,Asia,903688,13105
2/20/2022,Asia,5174610,18931
5/31/2020,Asia,232964,4300
12/13/2020,Asia,992216,14550
2/2/2020,Asia,12506,306
11/7/2021,Asia,983322,18526
10/24/2021,Asia,1025147,17421
1/23/2022,Africa,267521,2438
7/19/2020,Africa,125864,1955
9/13/2020,Africa,55342,1448
6/20/2021,Africa,157749,2958
9/11/2022,Africa,12379,73
7/26/2020,Africa,125628,2536
1/31/2021,Africa,135453,5758
5/16/2021,Africa,57875,1945
8/21/2022,Africa,17609,171
12/27/2020,Africa,153750,3394
2/21/2021,Africa,77321,2792
8/15/2021,Africa,253615,6146
8/14/2022,Africa,22176,106
7/24/2022,Africa,56449,252
8/28/2022,Africa,16701,87
2/7/2021,Africa,107721,4292
6/27/2021,Africa,204232,3596
5/17/2020,Africa,21293,462
11/6/2022,Africa,9045,68
7/31/2022,Africa,42344,228
7/10/2022,Africa,53473,249
4/26/2020,Africa,9496,289
11/28/2021,Africa,59901,1142
8/7/2022,Africa,28145,138
6/12/2022,Africa,35274,230
7/25/2021,Africa,246800,6483
6/13/2021,Africa,118680,2243
12/26/2021,Africa,301378,1394
7/5/2020,Africa,94072,1831
12/25/2022,Africa,10380,33
10/4/2020,Africa,54454,1418
9/20/2020,Africa,53570,1315
3/7/2021,Africa,70841,2153
4/10/2022,Africa,32359,287
12/13/2020,Africa,113956,2413
8/9/2020,Africa,90726,2938
2/28/2021,Africa,74070,2502
3/28/2021,Africa,78105,2012
3/13/2022,Africa,70409,590
9/18/2022,Africa,9686,68
11/7/2021,Africa,39533,1239
4/12/2020,Africa,5356,355
5/3/2020,Africa,12689,386
11/29/2020,Africa,93933,2076
5/9/2021,Africa,59226,2122
7/18/2021,Africa,284323,6147
12/12/2021,Africa,181502,955
3/27/2022,Africa,39579,365
4/17/2022,Africa,30278,216
2/6/2022,Africa,207794,2610
9/26/2021,Africa,92030,2798
11/1/2020,Africa,76014,1433
9/4/2022,Africa,15291,68
10/31/2021,Africa,37962,1331
6/28/2020,Africa,76395,2194
10/24/2021,Africa,39469,1494
4/25/2021,Africa,82427,2189
3/29/2020,Africa,3267,113
10/16/2022,Africa,10335,63
11/8/2020,Africa,85608,1879
8/22/2021,Africa,268352,5682
3/8/2020,Africa,78,5
8/30/2020,Africa,58575,1801
1/3/2021,Africa,165595,4288
5/8/2022,Africa,61772,264
12/6/2020,Africa,99287,2061
8/16/2020,Africa,72945,2354
4/4/2021,Africa,80790,1811
1/2/2022,Africa,315453,1574
2/13/2022,Africa,153600,2888
5/31/2020,Africa,34271,809
10/23/2022,Africa,6993,34
4/19/2020,Africa,7259,542
10/25/2020,Africa,73397,1325
5/24/2020,Africa,26943,542
10/30/2022,Africa,6699,66
5/15/2022,Africa,67954,350
3/21/2021,Africa,81260,2350
9/12/2021,Africa,135407,3669
6/19/2022,Africa,48477,248
12/19/2021,Africa,280578,1002
1/17/2021,Africa,213239,6197
12/4/2022,Africa,12055,51
7/11/2021,Africa,284199,5583
11/27/2022,Africa,13820,57
11/14/2021,Africa,38288,1175
12/18/2022,Africa,9981,40
6/6/2021,Africa,89965,2017
8/8/2021,Africa,297416,7104
3/15/2020,Africa,234,4
4/5/2020,Africa,4725,439
7/12/2020,Africa,112322,2004
9/25/2022,Africa,6312,43
11/13/2022,Africa,11331,31
12/5/2021,Africa,98421,1070
7/3/2022,Africa,48543,177
2/14/2021,Africa,86929,3495
5/23/2021,Africa,66224,2093
3/22/2020,Africa,1032,18
6/14/2020,Africa,51242,1543
4/24/2022,Africa,40208,262
3/20/2022,Africa,42560,415
8/29/2021,Africa,222193,5629
12/11/2022,Africa,8664,112
2/20/2022,Africa,130579,2976
3/14/2021,Africa,66917,1959
2/27/2022,Africa,133443,1599
11/22/2020,Africa,95310,1873
9/19/2021,Africa,125136,3303
6/7/2020,Africa,43359,1678
6/21/2020,Africa,63390,2122
11/20/2022,Africa,13248,54
6/5/2022,Africa,35345,246
1/9/2022,Africa,316938,2532
10/17/2021,Africa,46189,1531
8/23/2020,Africa,70035,2188
9/5/2021,Africa,176298,4648
1/16/2022,Africa,288752,2483
11/15/2020,Africa,94326,1685
12/20/2020,Africa,129555,2746
10/10/2021,Africa,53667,1919
4/11/2021,Africa,81202,1917
